EPA Facility ID,State,Report Received Date,Report Created Date
100000051597,AR,3/1/2024,11/29/2024
100000051695,AR,12/1/2023,11/29/2024
100000051917,AR,4/1/2024,11/29/2024
100000052079,AR,5/1/2024,11/29/2024
100000052202,AR,5/1/2024,11/29/2024
100000052284,AR,6/1/1999,11/28/2024
100000052444,AR,3/1/2024,11/29/2024
100000052499,AR,10/1/2022,11/28/2024
100000052845,AR,5/1/2019,11/28/2024
100000052952,AR,5/1/2024,11/29/2024
100000052998,AR,11/1/2023,11/29/2024
100000054308,AR,6/1/2004,11/28/2024
100000054415,AR,7/1/2024,11/29/2024
100000054424,AR,4/1/2016,11/28/2024
100000054585,AR,11/1/2022,11/29/2024
100000054772,AR,8/1/2023,11/29/2024
100000055664,AR,10/1/2005,11/28/2024
100000056299,AR,1/1/2007,11/28/2024
100000057305,AR,6/1/1999,11/28/2024
100000057341,AR,7/1/2024,11/29/2024
100000058947,AR,6/1/2004,11/28/2024
100000059018,AR,6/1/2022,11/28/2024
100000059296,AR,3/1/2024,11/29/2024
100000059508,AR,7/1/2024,11/29/2024
100000060006,AR,12/1/2021,11/28/2024
100000060088,AR,7/1/2023,11/29/2024
100000060104,AR,10/1/2012,11/28/2024
100000061283,AR,6/1/2023,11/29/2024
100000062326,AR,6/1/1999,11/28/2024
100000063138,AR,5/1/2024,11/29/2024
100000063441,AR,12/1/2008,11/28/2024
100000064119,AR,6/1/1999,11/28/2024
100000064501,AR,1/1/2000,11/28/2024
100000064529,AR,3/1/2024,11/29/2024
100000064798,AR,2/1/2024,11/29/2024
100000071496,AR,2/1/2022,11/28/2024
100000071637,AR,2/1/2022,11/28/2024
100000072681,AR,6/1/2014,11/28/2024
100000072903,AR,2/1/2017,11/28/2024
100000072967,AR,2/1/2017,11/28/2024
100000073136,AR,3/1/2024,11/29/2024
100000075367,AR,6/1/1999,11/28/2024
100000075492,AR,8/1/2020,11/28/2024
100000075544,AR,3/1/2024,11/29/2024
100000075731,AR,6/1/2004,11/28/2024
100000075795,AR,11/1/2023,11/29/2024
100000075875,AR,6/1/2024,11/29/2024
100000075946,AR,11/1/2023,11/29/2024
100000076044,AR,2/1/2020,11/28/2024
100000076124,AR,2/1/2020,11/28/2024
100000076179,AR,5/1/2010,11/28/2024
100000076954,AR,6/1/2009,11/28/2024
100000078364,AR,5/1/2014,11/28/2024
100000084099,AR,6/1/2022,11/28/2024
100000084678,AR,6/1/1999,11/28/2024
100000086033,AR,4/1/2024,11/29/2024
100000086195,AR,11/1/2015,11/28/2024
100000086337,AR,11/1/2015,11/28/2024
100000086532,AR,9/1/2007,11/28/2024
100000086621,AR,9/1/2007,11/28/2024
100000086863,AR,3/1/2021,11/28/2024
100000087345,AR,5/1/2021,11/28/2024
100000087586,AR,6/1/2004,11/28/2024
100000087906,AR,4/1/2006,11/28/2024
100000088745,AR,6/1/1999,11/28/2024
100000090144,AR,4/1/2024,11/29/2024
100000092384,AR,12/1/2023,11/29/2024
100000093392,AR,5/1/2024,11/29/2024
100000095602,AR,9/1/2024,11/29/2024
100000095782,AR,4/1/2024,11/29/2024
100000099608,AR,2/1/2022,11/28/2024
100000101034,AR,10/1/2008,11/28/2024
100000101123,AR,2/1/2008,11/28/2024
100000101347,AR,3/1/2023,11/29/2024
100000101409,AR,2/1/2021,11/28/2024
100000102328,AR,9/1/2003,11/28/2024
100000102612,AR,8/1/2024,11/29/2024
100000103611,AR,6/1/1999,11/28/2024
100000104317,AR,7/1/2020,11/28/2024
100000105511,AR,2/1/2007,11/28/2024
100000107895,AR,5/1/2022,11/28/2024
100000108135,AR,7/1/2003,11/28/2024
100000108901,AR,2/1/2024,11/29/2024
100000109278,AR,8/1/2007,11/28/2024
100000109839,AR,8/1/2022,11/28/2024
100000110532,AR,6/1/1999,11/28/2024
100000111425,AR,3/1/2023,11/29/2024
100000111899,AR,6/1/2019,11/28/2024
100000111915,AR,6/1/1999,11/28/2024
100000112282,AR,2/1/2022,11/28/2024
100000113352,AR,11/1/2015,11/28/2024
100000113888,AR,10/1/2024,11/29/2024
100000115207,AR,12/1/2021,11/28/2024
100000117189,AR,2/1/2024,11/29/2024
100000118963,AR,6/1/2024,11/28/2024
100000119212,AR,4/1/2023,11/29/2024
100000120442,AR,9/1/2022,11/28/2024
100000120479,AR,6/1/1999,11/28/2024
100000120665,AR,9/1/2022,11/28/2024
100000120987,AR,6/1/2023,11/29/2024
100000121209,AR,6/1/2024,11/29/2024
100000122627,AR,7/1/2024,11/29/2024
100000122672,AR,6/1/2024,11/29/2024
100000124046,AR,1/1/2024,11/29/2024
100000124386,AR,9/1/2022,11/28/2024
100000125134,AR,4/1/2023,11/29/2024
100000126259,AR,8/1/2020,11/28/2024
100000127178,AR,12/1/2016,11/28/2024
100000127944,AR,4/1/2009,11/28/2024
100000128168,AR,12/1/2010,11/28/2024
100000134204,AR,11/1/2021,11/28/2024
100000134632,AR,6/1/2009,11/29/2024
100000139192,AR,6/1/2023,11/29/2024
100000139888,AR,3/1/2014,11/28/2024
100000140803,AR,6/1/1999,11/28/2024
100000141143,AR,7/1/2009,11/29/2024
100000141571,AR,4/1/2024,11/29/2024
100000141839,AR,10/1/2020,11/28/2024
100000142455,AR,6/1/2009,11/28/2024
100000142605,AR,6/1/2020,11/28/2024
100000142687,AR,9/1/1999,11/28/2024
100000143294,AR,8/1/2004,11/28/2024
100000145345,AR,4/1/2023,11/29/2024
100000145817,AR,4/1/2023,11/29/2024
100000145835,AR,4/1/2023,11/29/2024
100000145979,AR,5/1/2022,11/28/2024
100000147085,AR,12/1/2023,11/29/2024
100000147717,AR,6/1/1999,11/28/2024
100000147888,AR,5/1/2005,11/28/2024
100000148789,AR,6/1/1999,11/28/2024
100000150873,AR,1/1/2020,11/28/2024
100000157607,AR,12/1/2021,11/28/2024
100000157723,AR,10/1/2017,11/28/2024
100000159687,AR,6/1/2024,11/29/2024
100000159712,AR,3/1/2020,11/28/2024
100000159801,AR,4/1/2024,11/29/2024
100000159838,AR,5/1/2024,11/29/2024
100000159874,AR,4/1/2024,11/29/2024
100000159892,AR,5/1/2023,11/29/2024
100000163609,AR,10/1/2020,11/28/2024
100000163627,AR,7/1/2024,11/29/2024
100000163789,AR,3/1/2015,11/28/2024
100000164065,AR,1/1/2023,11/29/2024
100000166278,AR,11/1/2006,11/28/2024
100000168365,AR,6/1/2009,11/28/2024
100000169337,AR,10/1/2019,11/28/2024
100000171164,AR,2/1/2023,11/29/2024
100000171306,AR,10/1/2024,11/29/2024
100000172555,AR,10/1/2000,11/28/2024
100000172813,AR,11/1/2005,11/28/2024
100000173411,AR,1/1/2019,11/28/2024
100000174385,AR,11/1/2007,11/28/2024
100000175491,AR,5/1/2001,11/28/2024
100000175507,AR,5/1/2001,11/28/2024
100000175758,AR,3/1/2023,11/29/2024
100000176196,AR,8/1/2023,11/29/2024
100000177266,AR,11/1/2001,11/28/2024
100000178568,AR,5/1/2002,11/28/2024
100000179497,AR,7/1/2007,11/28/2024
100000179727,AR,8/1/2022,11/28/2024
100000180001,AR,9/1/2002,11/28/2024
100000181082,AR,1/1/2022,11/28/2024
100000181536,AR,8/1/2021,11/28/2024
100000183393,AR,11/1/2023,11/29/2024
100000186372,AR,6/1/2004,11/28/2024
100000188584,AR,6/1/2024,11/29/2024
100000188619,AR,6/1/2019,11/28/2024
100000188726,AR,4/1/2024,11/29/2024
100000189119,AR,9/1/2014,11/28/2024
100000191133,AR,3/1/2005,11/28/2024
100000192016,AR,5/1/2020,11/28/2024
100000193168,AR,9/1/2005,11/28/2024
100000194149,AR,12/1/2022,11/29/2024
100000196977,AR,9/1/2021,11/28/2024
100000199616,AR,4/1/2020,11/28/2024
100000200301,AR,10/1/2012,11/28/2024
100000200445,AR,10/1/2007,11/28/2024
100000201462,AR,8/1/2023,11/29/2024
100000202014,AR,3/1/2008,11/28/2024
100000207812,AR,7/1/2014,11/28/2024
100000209874,AR,10/1/2024,11/29/2024
100000210835,AR,2/1/2023,11/29/2024
100000212236,AR,12/1/2021,11/28/2024
